State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an unknown manufacturer
District of Columbia,1291005,182927,223519,1052848,149182,1011865,175190,520237,73.7,494490,85.6,438299,62.1,419882,72.7,738405,493900,58700,0,31521,383667,637211,449,157935,244711,35370,283,157867,226401,35349,265,403671,73.7,494490,85.6,57.2,385273,66.7,520237,84931,97.2,74714,85.5,40121,32523,2637,48,201901,231159,1478090,520116,85.3,438245,71.9,157928,244670,35367,280,1052750,172652,211726,24181,5.5,24133,5.7,17259,10.5,12441,16.7,N/A,N/A,N/A,N/A
Dept of Defense,5537890,N/A,N/A,6171206,N/A,5861194,N/A,3355594,N/A,3187415,N/A,2613207,N/A,2479601,N/A,3431790,1907200,198900,0,268686,2138708,3747857,15955,853237,1524818,235098,54,853081,1391552,234914,54,2378605,N/A,3187415,N/A,0,2245181,0,3355594,259616,0,160512,0,55486,97540,7486,0,463341,0,0,3355396,0,2613134,0,853220,1524784,235076,54,6170944,0,0,525,0,523,0,14,0,6,0,N/A,N/A,N/A,N/A
Delaware,1642375,168663,213242,1286334,132099,1203721,156288,668761,68.7,626907,81.4,580729,59.6,545158,70.8,921255,648320,72800,0,51763,483034,750015,1522,211033,317901,51293,502,210910,282517,51237,494,530002,68.7,626907,81.4,54.4,494483,64.2,668761,190342,99.9,168436,89.2,68776,90253,9362,272,395630,209432,869414,668571,79.6,580675,69.1,211022,317867,51284,502,1286099,153142,195566,47883,8.2,47826,8.8,42674,13.3,34162,20.3,N/A,N/A,N/A,N/A
Florida,34728575,161696,201351,28188800,131247,26634790,154424,14766687,68.8,13922882,80.7,12764431,59.4,12076608,70,19423635,13434840,1870100,0,1234021,10356476,16495928,102375,4497974,7017731,1218330,30396,4496261,6333387,1216780,30180,11561558,68.8,13922882,80.7,53.8,10875234,63.1,14766687,4413999,98.1,3865373,85.9,1866707,1791127,203559,18283,9342612,207737,772203,14758485,78.9,12762653,68.3,4497261,7017468,1217532,30392,28179630,150725,185754,1040501,8.2,1038972,8.6,930696,13.1,745198,19.3,N/A,N/A,N/A,N/A
Federated States of Micronesia,88470,85360,109593,75359,72710,74133,91833,45916,44.3,45221,56,40321,38.9,39762,49.3,2970,74000,11500,0,11877,62226,1256,0,28289,686,11345,1,28284,155,11322,1,29020,44.3,45221,56,28,28484,35.3,45916,3565,20.3,3290,18.7,2238,7,1045,0,5867,33409,503787,45902,51.9,40312,45.5,28288,686,11337,1,75344,85126,99956,52,0.1,50,0.1,14,0.1,3,0.1,N/A,N/A,N/A,N/A
Georgia,15381505,144870,189578,11322900,106645,10616069,130844,6011648,56.6,5608581,69.1,5082925,47.9,4777839,58.9,8381385,6328820,671300,0,282240,4444579,6585541,10540,1970307,2828578,280675,3365,1969463,2524978,280242,3156,4807064,56.6,5608581,69.1,45.3,4502353,55.5,6011648,1347331,88.8,1188754,78.4,646429,511795,33214,1592,2808022,185109,1013970,6009276,66.9,5082360,56.5,1970248,2828186,280566,3360,11320112,125946,171132,329737,6.5,329065,6.9,270231,10.7,194959,16.4,N/A,N/A,N/A,N/A
Guam,247230,149142,191482,253607,152989,227464,176173,131747,79.5,117768,91.2,120557,72.7,108456,84,150150,76580,20500,0,10308,79411,163847,41,36952,73880,9725,0,36938,61799,9719,0,110865,79.5,117768,91.2,66.9,98770,76.5,131747,16482,58.7,15500,55.2,6300,8676,533,0,35343,125834,880229,131717,93,120544,85.2,36951,73869,9724,0,253565,179119,174644,8208,6.8,8205,7.6,6164,14.3,3586,23.1,N/A,N/A,N/A,N/A
Hawaii,2503510,176818,224328,1960896,138494,1835123,164437,1109926,78.4,1032347,92.5,843312,59.6,793142,71.1,1470750,930060,102700,0,51432,625199,1190249,94016,271740,501238,52198,18136,271133,451857,52033,18119,791341,78.4,1032347,92.5,55.9,741333,66.4,1109926,282650,99.9,234135,87.2,96584,126643,10048,1416,541225,201613,932587,1106102,91.3,841792,69.5,271690,499815,52162,18125,1956282,161528,206712,62266,7.4,62152,7.8,49035,11.3,36096,15.4,N/A,N/A,N/A,N/A
Iowa,4563315,144634,187928,3657561,115926,3432907,141375,1872818,59.4,1754685,72.3,1745363,55.3,1640548,67.6,2535315,1797600,230400,0,149188,1412555,2095428,390,673358,924844,146920,241,673162,820307,146839,240,1599989,59.4,1754685,72.3,50.7,1495248,61.6,1872818,516644,93.4,494801,89.5,259652,222121,13713,108,1110801,200885,825261,1872726,70,1745335,65.2,673351,924825,146918,241,3657503,136664,170510,160211,9.2,160028,9.8,136332,14.6,107553,21.7,N/A,N/A,N/A,N/A
Idaho,2396700,134114,179010,1684715,94273,1683480,125739,870564,48.7,868093,64.8,778146,43.5,776486,58,1326420,944980,125300,0,68565,663924,949892,2334,300222,409062,68290,572,300200,407452,68268,566,710608,48.7,868093,64.8,39.8,708970,53,870564,256116,88.1,239455,82.4,110057,118179,11324,243,545961,187828,824543,0,0,0,0,0,0,0,0,0,0,0,79520,10.2,79518,10.2,67219,15.3,52043,21.7,N/A,N/A,N/A,N/A
Indian Health Svc,2201375,105692,N/A,1710464,82123,1565431,N/A,924102,44.4,844137,N/A,767540,36.9,702696,N/A,1066215,1045560,89600,0,33530,830124,846696,114,368077,366070,33387,6,367771,301590,33329,6,734305,44.4,844137,N/A,35.3,669514,0,924102,159051,0,132515,0,74323,55031,3160,1,309009,0,0,923674,0,767355,0,368002,365981,33366,6,1709830,0,0,43809,5.7,43689,6.2,31797,9.3,17519,13.2,N/A,N/A,N/A,N/A
Illinois,19000955,149947,192826,15703895,123928,14538163,147536,8816983,69.6,8146547,82.7,6897954,54.4,6412052,65.1,10987995,7080160,932800,0,555867,5622890,9504642,20496,2406038,3939779,545555,6582,2399505,3462976,543094,6477,6355253,69.6,8146547,82.7,50.2,5871790,59.6,8816983,1980521,96.9,1613877,79,727779,812746,75738,3049,3754616,183759,929946,8790988,81.1,6883356,63.5,2405993,3925255,545526,6582,15662406,144516,175321,269741,3.9,269083,4.2,218629,6.5,165706,10.3,N/A,N/A,N/A,N/A
Indiana,8903050,132245,172398,7109839,105609,6691138,129567,3600543,53.5,3379467,65.4,3341675,49.6,3150298,61,5101170,3326280,475600,0,260879,2549238,4274538,25184,1190088,1887426,256712,7449,1189791,1696676,256461,7370,3089030,53.5,3379467,65.4,45.9,2897867,56.1,3600543,952003,87.7,917979,84.5,450382,436376,29437,3654,2093007,192772,819996,3600144,63.1,3341519,58.6,1190073,1887305,256692,7449,7109349,124615,156056,274435,8.2,273951,8.7,236921,13.2,185808,20.2,N/A,N/A,N/A,N/A
Kansas,4151605,142505,187595,3281118,112625,3053518,137977,1806073,62,1681262,76,1541651,52.9,1437634,65,2267745,1673560,210300,0,110197,1257420,1911907,1594,583660,848890,108605,496,583323,745374,108503,434,1434283,62,1681262,76,49.2,1330362,60.1,1806073,482737,99.9,408128,85.8,195099,197016,17521,222,930647,195725,873127,1805902,73.7,1541615,62.9,583652,848870,108597,496,3280939,133823,169336,114136,7.4,113897,7.9,95288,12.2,74540,18.3,N/A,N/A,N/A,N/A
Kentucky,6204035,138865,179059,5247763,117461,4937407,142502,2794685,62.6,2624735,75.8,2436437,54.5,2296202,66.3,3257595,2640940,305500,0,205509,2130579,2910195,1480,969960,1262766,202313,1398,969721,1122951,202186,1344,2235750,62.6,2624735,75.8,50,2095638,60.5,2794685,719678,95.9,640099,85.3,291492,310261,38517,709,1443490,192321,826583,2794247,73.4,2436361,64,969947,1262736,202282,1396,5246586,137844,163000,202721,8.3,202426,8.8,171726,13.3,130602,20.4,N/A,N/A,N/A,N/A
Louisiana,6082060,130831,170789,4801994,103295,4545155,127631,2490535,53.6,2347523,65.9,2203150,47.4,2089113,58.7,3227640,2588620,265800,0,163652,1954028,2682004,2310,889776,1155714,156708,952,889294,1042326,156549,944,2047978,53.6,2347523,65.9,44.1,1934096,54.3,2490535,650732,87.8,618028,83.4,296261,307362,22273,198,1393990,188117,820766,2490238,63.5,2203033,56.2,889754,1155642,156685,952,4801614,122387,155023,188565,8.6,188237,9,159841,13.2,120770,19.5,N/A,N/A,N/A,N/A
Massachusetts,11667690,169281,210619,10275420,149081,9540644,172223,5485304,79.6,5086602,91.8,4782361,69.4,4443294,80.2,6628890,4533800,505000,0,343082,3854828,6077011,499,1759852,2676405,345951,153,1754551,2343876,344734,133,4441232,79.6,5086602,91.8,64.4,4103367,74.1,5485304,1221422,99.9,1051616,89.9,473547,510917,69638,52,2410825,206171,997808,5468441,90.9,4770820,79.3,1759844,2664881,345942,153,10246767,170304,193920,329084,6.9,328593,7.4,271447,12,205689,19.6,N/A,N/A,N/A,N/A
Maryland,10617120,175615,225369,8414424,139181,7775331,165047,4390064,72.6,4051684,86,3983357,65.9,3686874,78.3,6174180,3960240,482700,0,304143,3036694,5061413,12174,1407477,2274236,298403,3241,1406996,1978577,298195,3106,3693584,72.6,4051684,86,61.1,3397275,72.1,4390064,941430,98.1,877856,91.5,415019,410845,53364,857,1957834,204069,1106650,4389409,85,3983137,77.1,1407439,2274093,298367,3238,8413777,162967,205643,308506,7.7,307926,8.4,251713,13.3,186548,21.3,N/A,N/A,N/A,N/A
Maine,2308490,171736,210750,1931683,143704,1816436,165829,1022274,76.1,962343,87.9,944234,70.2,890123,81.3,1232190,950600,125700,0,120949,755532,1053752,1450,356247,468345,119308,334,356186,414399,119235,303,825967,76.1,962343,87.9,61.4,771922,70.5,1022274,291069,99.9,269657,94.5,122513,124099,23100,150,597672,209515,809244,1022159,86.3,944198,79.7,356240,468336,119288,334,1931558,163009,194820,76327,8.1,76251,8.6,67915,12.9,55011,20.4,N/A,N/A,N/A,N/A
Marshall Islands,57140,97821,125591,42025,71945,41224,90608,23753,40.7,23074,50.7,20218,34.6,20177,44.3,2340,43500,11300,0,2162,39107,754,2,18049,15,2153,1,18019,13,2144,1,18073,40.7,23074,50.7,30.9,18041,39.7,23753,1322,13.4,1151,11.6,1051,0,100,0,2381,24058,577347,23727,47.6,20207,40.5,18041,15,2150,1,41989,84173,114546,10,0,10,0,4,0.1,1,0.1,N/A,N/A,N/A,N/A
Michigan,14329880,143487,182711,11287404,113023,10638514,135645,5785238,57.9,5445538,69.4,5324409,53.3,5021363,64,7742820,5866060,721000,0,377771,4287997,6619958,1678,2016307,2928651,378529,922,2015661,2626593,378250,859,4950161,57.9,5445538,69.4,49.6,4647360,59.3,5785238,1587383,89.9,1491390,84.5,743925,681836,67407,538,3327469,188482,811707,5784787,67.3,5324279,61.9,2016288,2928560,378511,920,11286878,131319,166723,513715,9.6,513089,10.2,429155,14.7,323561,21.7,N/A,N/A,N/A,N/A
Minnesota,8441480,149681,194662,7078894,125520,6567423,151446,3657259,64.8,3391745,78.2,3360252,59.6,3116276,71.9,4864200,3172380,404900,0,300969,2533156,4242110,2659,1183451,1874524,301460,817,1181333,1633233,300929,781,3063618,64.8,3391745,78.2,54.3,2820160,65,3657259,892213,96.9,840856,91.4,350366,442937,48949,210,1906549,207148,917171,3646070,76.3,3352146,70.2,1183439,1866451,301439,817,7059331,147744,176671,344096,10.2,343617,11,282180,16.9,221820,26.4,N/A,N/A,N/A,N/A
Missouri,8280715,134922,173715,6681567,108866,6288805,131928,3466766,56.5,3255073,68.3,3037299,49.5,2859304,60,4714515,3224300,341900,0,211742,2340694,4126912,2219,1068208,1755214,213378,499,1067820,1577941,213139,404,2826715,56.5,3255073,68.3,46.1,2648937,55.6,3466766,940589,88.6,850834,80.1,386167,428711,38014,169,1963565,184887,779701,3466347,66.2,3037225,58,1068196,1755176,213354,499,6681125,127607,158158,256104,8.4,255725,8.9,214697,13.2,165183,19.4,N/A,N/A,N/A,N/A
Northern Mariana Islands,86860,152702,196055,72074,126708,63312,142904,36234,63.7,31706,71.6,34719,61,30481,68.8,63300,20760,2800,0,812,9785,61477,0,4657,29247,815,0,4656,25010,815,0,33906,63.7,31706,71.6,59.6,29668,67,36234,2952,30.6,2895,30,470,2335,90,0,6428,66694,901224,36234,74.6,34719,71.5,4657,29247,815,0,72074,148374,178813,1977,5.7,1975,6.5,1430,11.5,680,23.5,N/A,N/A,N/A,N/A
Mississippi,4021275,135117,176560,2930327,98460,2758264,121106,1538939,51.7,1443012,63.4,1348880,45.3,1271845,55.8,2162175,1676300,182800,0,74689,1182765,1670933,1940,536204,737643,74560,473,535904,661012,74474,455,1275167,51.7,1443012,63.4,42.8,1198214,52.6,1538939,416602,85.6,387187,79.6,198201,173596,16861,227,854649,175603,826245,1538701,61,1348802,53.5,536193,737588,74548,473,2930033,116205,159484,94156,7,93925,7.4,81350,10.7,60054,15.5,N/A,N/A,N/A,N/A
Montana,1438095,134555,171163,1168708,109350,1104432,131450,604090,56.5,569328,67.8,536415,50.2,507646,60.4,750915,602080,85100,0,48971,480324,638333,1080,218825,269566,47715,309,218716,240955,47670,305,489339,56.5,569328,67.8,45.8,460609,54.8,604090,183125,88.7,169074,81.9,81000,78797,9383,165,384743,186373,696627,603943,65.8,536365,58.5,218806,269541,47709,309,1168503,127344,156724,58037,10.8,57939,11.4,48959,16.3,38206,22.6,N/A,N/A,N/A,N/A
North Carolina,15503720,147822,189361,12143834,115787,11377522,138964,6634752,63.3,6216598,75.9,5489440,52.3,5150395,62.9,8667960,6087260,748500,0,427803,4404920,7310363,748,1973848,3094863,420624,105,1970968,2760081,419243,103,5070719,63.3,6216598,75.9,48.3,4733048,57.8,6634752,1754951,99.9,1428659,81.6,683551,700035,47877,48,3356533,191682,885373,6626507,73.7,5484410,61,1973790,3089909,420606,105,12130529,135001,172541,280348,5.1,280070,5.4,225442,8,164235,11.5,N/A,N/A,N/A,N/A
North Dakota,998540,131031,171603,799805,104953,756835,130065,403265,52.9,381352,65.5,349443,45.9,331342,56.9,566760,389280,42500,0,33628,301661,464217,299,134240,184596,30604,3,134042,166826,30471,3,318988,52.9,381352,65.5,41.9,301018,51.7,403265,108044,90.2,93878,78.3,45545,44605,3943,0,228019,190262,833193,402643,63.2,349096,54.8,134235,184257,30601,3,798756,125345,156696,33841,9.7,33805,10.2,27482,15.4,20551,21.9,N/A,N/A,N/A,N/A
Nebraska,2744840,141896,188218,2304755,119145,2146767,147207,1174894,60.7,1091535,74.8,1084264,56.1,1010193,69.3,1599720,1020820,124300,0,80573,830269,1388971,4942,389959,612614,80377,1314,389802,538827,80303,1261,1005350,60.7,1091535,74.8,52,931348,63.9,1174894,291307,93.2,277409,88.8,134980,135597,6628,821,644061,206127,878467,1174603,72.6,1084170,67,389935,612564,80359,1312,2304370,142473,169706,100248,9.2,100086,9.9,81614,15.2,64412,23.2,N/A,N/A,N/A,N/A
New Hampshire,2268450,166833,205390,1889321,138950,1762264,159559,1012920,74.5,952957,86.3,852443,62.7,802771,72.7,1271790,865660,131000,0,94686,712734,1081838,63,325883,455556,70944,60,325631,406195,70889,56,781716,74.5,952957,86.3,57.5,732098,66.3,1012920,293145,99.9,225695,88.9,94795,116750,14436,30,513468,202261,893569,1012091,84.4,852212,71.1,325781,455452,70919,60,1888270,157544,189263,12123,1.4,12097,1.5,9952,2.1,7243,3.2,N/A,N/A,N/A,N/A
New Jersey,14789125,166503,212989,12132095,136589,11250024,162020,6622810,74.6,6145211,88.5,5869670,66.1,5455175,78.6,8414505,5659620,715000,0,452774,4559059,7119888,374,2137125,3273279,459076,190,2136524,2859686,458790,175,5415143,74.6,6145211,88.5,61,5000921,72,6622810,1441282,97.7,1291116,87.5,601243,605882,86707,54,2835093,192140,1002290,6621947,86.9,5869457,77,2137090,3273164,459013,190,12131189,159236,194124,416241,7.1,415477,7.6,345588,12.3,243723,18.9,N/A,N/A,N/A,N/A
New Mexico,3151915,150318,194444,2777502,132462,2578519,159071,1502526,71.7,1387280,85.6,1296913,61.9,1199756,74,1698375,1302240,151300,0,97351,1119007,1555484,5660,511403,686668,97243,1599,511025,590048,97105,1578,1200838,71.7,1387280,85.6,57.3,1103810,68.1,1502526,375793,99.5,332358,88,160238,163858,20876,847,744452,197150,834710,1502224,84,1296825,72.6,511384,686611,97231,1599,2777183,155373,176338,130850,10.1,130644,10.9,103548,16,70254,21.1,N/A,N/A,N/A,N/A
Nevada,4257240,138215,178312,3589453,116535,3363264,140869,1937937,62.9,1811038,75.9,1620751,52.6,1524532,63.9,2522880,1523260,211100,0,156186,1241865,2191103,299,560688,906065,153959,39,560589,809989,153916,38,1467520,62.9,1811038,75.9,47.6,1371343,57.4,1937937,447896,90.3,390473,78.7,182085,185518,24496,22,900455,181554,858363,1937836,73.9,1620711,61.8,560684,906033,153955,39,3589397,136906,162378,104674,6.5,104570,6.9,88560,11.2,68544,17.6,N/A,N/A,N/A,N/A
